credit_card_id,customer_id,card_number,card_expiry_date,bank_name
C001,1,4556-1837-2013-4896,2024-01-07,Stanbic IBTC Bank
C002,2,3762-5112-4456-1244,2024-01-08,Zenith Bank
C003,3,5248-8802-9967-8311,2024-01-09,WEMA Bank
C004,4,6719-3465-0457-2475,2024-01-10,Union Bank
C005,5,3590-6071-8890-5436,2024-01-11,Fidelity Bank
C006,6,2201-3748-6942-2287,2024-01-12,Zenith Bank
C007,7,8126-8395-6891-1657,2024-01-13,United Bank of Africa
C008,8,6605-8811-1765-2246,2024-01-14,Polaris Bank
C009,9,9024-3197-0233-3694,2024-01-15,Fidelity Bank
C010,10,5401-0319-9408-7214,2024-01-16,Unity Bank
C011,11,4486-3751-2107-4653,2024-01-17,Heritage Bank
C012,12,7543-2999-7763-8939,2024-01-18,Standered Chartered
C013,13,9251-0962-3836-9712,2024-01-19,Unity Bank
C014,14,3377-2356-2159-3999,2024-01-20,Keystone Bank
C015,15,1376-5689-9006-3888,2024-01-21,Access Bank
C016,16,6813-6416-5233-7003,2024-01-22,Diamond Bank
C017,17,7876-6332-1892-7512,2024-01-23,Stanbic IBTC Bank
C018,18,5142-4560-6437-1116,2024-01-24,Polaris Bank
C019,19,3989-1601-0976-3145,2024-01-25,First Bank of Nigeria
C020,20,1035-9340-3105-9387,2024-01-26,Heritage Bank
C021,21,9658-1973-0257-2803,2024-01-27,Zenith Bank
C022,22,2344-9619-1359-6684,2024-01-28,Stanbic IBTC Bank
C023,23,6487-1268-0741-5026,2024-01-29,Access Bank
C024,24,8792-7441-0779-4012,2024-01-30,Access Bank
C025,25,7150-0137-9021-9821,2024-01-31,Union Bank
C026,26,1610-4226-3298-6209,2024-02-01,Stanbic IBTC Bank
C027,27,2312-3233-8092-5430,2024-02-02,Union Bank
C028,28,8301-3444-3810-9349,2024-02-03,Unity Bank
C029,29,7464-8135-5206-7895,2024-02-04,Stanbic IBTC Bank
C030,30,6527-6676-6985-3242,2024-02-05,GT Bank
C031,31,5763-8713-3642-2867,2024-02-06,Polaris Bank
C032,32,4335-9272-1185-8896,2024-02-07,GT Bank
C033,33,7819-2687-9571-6235,2024-02-08,Union Bank
C034,34,1665-1917-5737-2776,2024-02-09,Access Bank
C035,35,9259-8829-3673-9455,2024-02-10,Union Bank
C036,36,3247-9866-2312-6700,2024-02-11,Zenith Bank
C037,37,8026-1101-9429-3567,2024-02-12,Heritage Bank
C038,38,9958-6131-8784-9310,2024-02-13,Unity Bank
