customer_id,customer_name,email,phone,dob,gender,country,city
1,John Martinez,JohnMartinez20@gmail.com,207-319-8171,2/16/1989,M,Nigeria,Ugep
2,Virginia Read,VirginiaRead70@gmail.com,704-915-9203,8/10/1992,F,Nigeria,Kontagora
3,Tim Branch,TimBranch91@gmail.com,917-398-6976,6/21/1985,M,Nigeria,Kaduna
4,Garry Joyce,GarryJoyce52@gmail.com,520-880-0374,12/28/1987,M,Nigeria,Ifako-Ijaiye
5,Julia Riddick,JuliaRiddick22@gmail.com,225-247-2241,5/4/1974,F,Nigeria,Awka
6,Michael Schaffer,MichaelSchaffer20@gmail.com,207-386-0378,7/7/1982,M,Nigeria,Suleja
7,Kenneth Maize,KennethMaize81@gmail.com,814-935-8063,11/5/1979,M,Nigeria,Ikeja
8,Mark Harding,MarkHarding31@gmail.com,310-258-0712,3/19/1983,M,Nigeria,Ikeja
9,Marie Horton,MarieHorton51@gmail.com,510-968-7667,1/28/1998,F,Nigeria,Ilesha
10,Cynthia Gaskin,CynthiaGaskin71@gmail.com,719-691-2601,9/15/1977,F,Nigeria,Port Harcourt
11,Linda Thomas,LindaThomas63@gmail.com,636-625-6334,4/8/1981,F,Nigeria,Jos
12,Barbara Costa,BarbaraCosta83@gmail.com,832-647-7230,10/27/1990,F,Nigeria,Warri
13,Mae Sikes,MaeSikes61@gmail.com,618-443-1355,7/2/1991,F,Nigeria,Yola
14,Angelo Castillo,AngeloCastillo86@gmail.com,860-348-9657,2/9/1987,M,Nigeria,Owo
15,Diane Malcolm,DianeMalcolm76@gmail.com,765-759-2565,8/7/1995,F,Nigeria,Ikot Ekpene
16,Cindy Shufelt,CindyShufelt51@gmail.com,516-925-9440,1/2/1980,F,Nigeria,Yenagoa
17,Deborah Pines,DeborahPines41@gmail.com,410-737-8298,11/9/1997,F,Nigeria,Ondo
18,Jackie Baca,JackieBaca81@gmail.com,817-750-5474,12/14/1972,F,Nigeria,Zaria
19,Susan Hammel,SusanHammel40@gmail.com,405-605-4586,9/12/1986,F,Nigeria,Ile-Ife
20,David Riedel,DavidRiedel50@gmail.com,502-939-9444,5/25/1995,M,Nigeria,Ogbomoso
21,Jack Herndon,JackHerndon61@gmail.com,617-342-3912,6/21/1998,M,Nigeria,Lafia
22,Jennifer Fulp,JenniferFulp44@gmail.com,443-354-1404,2/9/1985,F,Nigeria,Maiduguri
23,Nancy Johnson,NancyJohnson54@gmail.com,540-866-0715,4/22/1976,F,Nigeria,Makurdi
24,Ann McCafferty,AnnMcCafferty73@gmail.com,732-822-4058,5/19/1988,F,Nigeria,Ilesha
25,Bettye Holmes,BettyeHolmes31@gmail.com,319-363-5257,8/29/1981,F,Nigeria,Ugep
26,Michael Vaughn,MichaelVaughn80@gmail.com,801-858-9021,4/1/1992,M,Nigeria,Nsukka
27,Patricia Sun,PatriciaSun85@gmail.com,858-444-5846,10/5/1993,F,Nigeria,Nnewi
28,Donna Conner,DonnaConner30@gmail.com,305-819-0856,12/7/1989,F,Nigeria,Eket
29,Daniel Weaver,DanielWeaver31@gmail.com,314-450-8498,3/12/1978,M,Nigeria,Umuahia
30,Evelyn Arce,EvelynArce94@gmail.com,949-415-5318,7/23/1984,F,Nigeria,Oyo
31,Lindsey Isley,LindseyIsley91@gmail.com,916-674-4960,11/30/1976,F,Nigeria,Lekki
32,Aurora Wills,AuroraWills97@gmail.com,972-439-8352,7/1/1994,F,Nigeria,Zaria
33,Joshua Clark,JoshuaClark90@gmail.com,908-374-2856,8/3/1983,M,Nigeria,Jos
34,Gertrude Mills,GertrudeMills52@gmail.com,520-426-7990,10/11/1972,F,Nigeria,Ikoyi
35,Earl Scott,EarlScott61@gmail.com,610-436-8367,12/18/1981,M,Nigeria,Suleja
36,Josephine Paylor,JosephinePaylor87@gmail.com,870-953-7350,7/16/1988,F,Nigeria,Aba
37,Laura Gerdes,LauraGerdes26@gmail.com,269-370-8170,9/10/1974,F,Nigeria,Onitsha
38,Juan Blair,JuanBlair41@gmail.com,413-496-5002,3/13/1996,M,Nigeria,Suleja
39,Sandra Shelley,SandraShelley32@gmail.com,320-315-9694,11/4/1984,F,Nigeria,Katsina
40,Valerie Shanks,ValerieShanks25@gmail.com,256-693-7847,1/7/1976,F,Nigeria,Nnewi
41,Vivian Contreras,VivianContreras51@gmail.com,510-763-7709,3/21/1979,F,Nigeria,Awka
42,Maria Ingram,MariaIngram30@gmail.com,301-717-4213,7/28/1986,F,Nigeria,Oyo
43,Alejandro Henderson,AlejandroHenderson61@gmail.com,614-780-4821,8/13/1991,M,Nigeria,Okene
44,Harold Wells,HaroldWells31@gmail.com,312-907-3995,2/25/1998,M,Nigeria,Keffi
45,Lisa Jacobs,LisaJacobs57@gmail.com,570-386-6744,6/17/1981,F,Nigeria,Okene
46,Araceli Fegley,AraceliFegley81@gmail.com,813-919-3954,12/24/1995,F,Nigeria,Eket
47,Debby Corrado,DebbyCorrado86@gmail.com,863-522-8166,5/8/1997,F,Nigeria,Ilorin
